,pcstrip,Year,PracticeListSize,HBT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
621,ML15AG,2018,3040.25,S08000023,277830.0,659055.0,S01011459,S02002152,1.0,S99999999,S12000044,-118.0,6.033268989963216,0.05760483156576434,5.774522210269946,5.841164785264276,1.1006098523761032,5.06513282089779,1.6811585512445306,0.0,0.05572620796712088,19.77893983131168,-0.2253094103869982,-0.9989747952472834,-0.8676586070866552,-0.8595193568676819,-0.23733148475427301,0.12701180954515767,3.588015083799286,-0.16048307229420505,-0.17462264172261,-0.3973499631837223,1.1691058072805078
622,ML15JU,2018,7987.0,S08000023,278270.0,659521.0,S01011453,S02002151,1.0,S99999999,S12000044,126.0,6.8312760065868865,0.0666643099387131,6.343989823370019,6.415318879832873,1.051908947373893,4.407611687198362,0.7559484927049286,0.0,0.05229221972856408,19.528728323635658,0.38088345650044986,-0.9294114018452813,-0.5148593339293723,-0.505684527133944,-0.40294775109602926,-0.5803590268087687,0.6039817920954885,-0.16048307229420505,-0.2127276986559685,-0.5196148506345334,-0.8234414513334605
623,ML27LP,2018,34496.25,S08000023,279626.0,655186.0,S01011401,S02002142,1.0,S99999999,S12000044,123.0,6.4010286493473005,0.09256915669114801,5.580653646834558,5.658490851289937,1.1236817520913107,4.814411965856885,0.7476059970331271,0.0003527821078770647,0.10163032422834606,18.83814115441759,0.05405314859250761,-0.7305004964405072,-0.9877649778347872,-0.97209610400935,-0.15887130238044073,-0.1427173471799092,0.5770751619840035,-0.1601118275190984,0.33474979699739466,-0.8570676053205781,-0.8968303203950496
624,ML29AX,2018,9002.5,S08000023,282273.0,656028.0,S01011417,S02002145,1.0,S99999999,S12000044,9.0,6.830777283189454,0.08366232974338035,6.7070134737395195,6.768551800504535,1.3470835915402117,5.435921311661276,0.5377507397186851,0.0,0.05181395928276187,21.003747056357543,0.38050460949813614,-0.7988917526944196,-0.28995720245950657,-0.2879971301014116,0.6008471985740753,0.52591148193451,-0.09976040469132093,-0.16048307229420505,-0.21803468873579637,0.2011473597814301,-1.1846624390190175
625,ML30DR,2018,7398.25,S08000023,271413.0,655839.0,S01012793,S02002398,2.0,S99999999,S12000029,109.0,6.084821279861802,0.1645618228756582,5.841605092273309,5.8780216779860055,1.0121318869635327,4.689383489059069,0.9764580901940755,0.0007415976980807452,0.29053918165461184,18.806119844638225,-0.18614856373121735,-0.17770330948480453,-0.8260991022655733,-0.8368055027228174,-0.5382168642863359,-0.2772248081080893,1.3151802642418584,-0.15970266346820092,2.430966285633014,-0.8727146947472992,2.385786510467832
626,ML30NQ,2018,7775.75,S08000023,270381.0,656174.0,S01012786,S02002396,2.0,S99999999,S12000029,73.0,6.355422205002689,0.22031170152976612,6.121707629436177,6.193662305869137,0.8443881571966417,4.379205214059456,0.9449246663766696,0.0013881574664555089,0.06257349640527729,18.939302407500815,0.01940896543385213,0.25037329507000006,-0.6525686516353552,-0.6422851659689804,-1.1086598617002892,-0.6109191253854921,1.2134771043982746,-0.1590222663322811,-0.09864209151410608,-0.8076355494671811,0.5833098410867591
627,ML37EN,2018,7195.75,S08000023,272655.0,655183.0,S01012717,S02002384,2.0,S99999999,S12000029,36.0,7.185759185998871,0.28062339324774765,7.328679380076696,7.376790302115505,1.1494493414330533,5.529739047885624,1.083764329933709,0.0,0.18822442240364534,22.606125600614508,0.6501607564674321,0.7134778762615374,0.09518020458014048,0.08684294974984916,-0.0712439381823141,0.6268419724336729,1.6612696618171978,-0.16048307229420505,1.2956363265474669,0.9841434505161818,4.246904498549278
628,ML37JY,2018,6578.25,S08000023,272263.0,654729.0,S01012713,S02002383,2.0,S99999999,S12000029,100.0,5.7660494130717375,0.21582009639177402,7.13111578113649,7.20191976202154,1.0705700086389476,5.457088316136783,1.0053642121942221,0.006295965846845342,0.0010023253949162055,20.723107774301848,-0.42829835413044265,0.21588441145462928,-0.027215332066810025,-0.020924787805146443,-0.33948742540900445,0.5486832544168702,1.4084097201760506,-0.15385761036543327,-0.781863120188736,0.06401405782617242,0.23935025914092156
629,ML37QQ,2018,5067.75,S08000023,271863.0,653992.0,S01012711,S02002382,2.0,S99999999,S12000029,100.0,6.118728064814899,0.13506867196762515,7.78770120067841,7.804814420522379,1.2097241097798637,5.510587940132411,0.5948260911150246,0.0,0.014028038678649423,21.3737492983322,-0.16039183384102496,-0.40416708309524185,0.3795555772023569,0.35062203360751043,0.13373135103992834,0.6062389310800443,0.08432184466425038,-0.16048307229420505,-0.6373240269264784,0.3819475271748289,-0.9274221378851895
630,ML38AA,2018,7475.25,S08000023,271586.0,653891.0,S01012710,S02002382,2.0,S99999999,S12000029,-85.0,6.097387893580074,0.22673500454340356,5.860795491883614,5.917994648681501,0.9282344857203069,5.600876036328983,0.7726189285861023,0.0,0.12110563325646884,19.543846997440372,-0.1766025429090232,0.2996947610621409,-0.8142101749967215,-0.8121712983972008,-0.8235252040194206,0.7033721832996882,0.6577481073203316,-0.16048307229420505,0.5508564659076101,-0.5122271690354425,0.3590424206896535
