,pcstrip,Year,Number_of_Patients,HB,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
33,CF241YT,2018,6185.0,7A4,319655.0,177194.0,W01001698,W02000402,C1,W99999999,W06000015,-65,7.4083347982797,0.1855496713162363,8.752683532544971,8.76902434785426,1.259603169923432,5.7833742562777894,0.2404900220719749,0.0,0.00579028952327944,23.64637626572339,0.33392287825371725,0.4983421124530267,0.2767146952193458,0.2605961820758248,-0.2552318768746972,0.14567267508916965,-0.6253561512435283,-0.16523956233555795,-0.4711130305102864,0.006259289595027644,-0.16884757130680383
34,CF242HB,2018,12635.0,7A4,321510.0,177400.0,W01001875,W02000403,C1,W99999999,W06000015,127,8.699499458094833,0.2321896670928027,6.534227454631747,6.572293756361707,1.700147159434348,5.468055982633872,0.2732386708746432,0.0,0.05205825229964107,22.945424694492203,0.8191094057115879,0.820816825203726,-0.4602535240343316,-0.4642525939817827,0.384873348660487,-4.528365595951307e-05,-0.5408216108319964,-0.16523956233555795,0.1750472435801213,-0.07197179924466338,0.6446597073460982
35,CF242LU,2018,7373.0,7A4,320517.0,176492.0,W01001873,W02000404,C1,W99999999,W06000015,91,9.469403931472947,0.14436965909063426,6.068331919184177,6.100322432375863,1.2632794354683758,5.5624877168684,0.222088433875517,0.028884726577267164,0.016547896891581416,22.790836335729004,1.1084197388848112,0.21361840284683065,-0.6150234140201654,-0.6199875930073047,-0.24989030635778706,0.04359443120863899,-0.6728564255419627,-0.16224090807028616,-0.3208764929895477,-0.0892249392964704,-0.45392327787745934
36,CF243JD,2018,6583.0,7A4,318767.0,177636.0,W01001829,W02000399,C1,W99999999,W06000015,-100,7.803394102624016,0.2358945621973432,5.780770221870997,5.800824584169835,0.9111523467865269,4.631091364030596,0.6947817324184263,0.30894048841192284,0.06563243009519892,20.386079180638667,0.48237602135800944,0.8464329292516696,-0.7105510352808957,-0.7188120230693116,-0.7615268168637548,-0.3868315436317849,0.5473133282916695,-0.133167051252117,0.36461890220976717,-0.3576126259198408,1.388762106789687
37,CF243WD,2018,7297.0,7A4,318811.0,177533.0,W01001829,W02000399,C1,W99999999,W06000015,-100,9.462063846038284,0.45939558820446913,6.61376634185671,6.66556675108129,1.9463054323446007,5.943787667757999,0.07174662081926302,0.0,0.07914444326517342,24.548865906245904,1.1056615232411162,2.3917467304451674,-0.4338308093079989,-0.4334755763886599,0.7425384185516845,0.21980448675396255,-1.0609358283877788,-0.16523956233555795,0.5533223939892791,0.10698343394726499,2.391079680563566
38,CF244HU,2018,5523.0,7A4,318030.0,177987.0,W01001722,W02000394,C1,W99999999,W06000015,-101,10.624711773753509,0.2551257442628543,6.401649994383372,6.473860506120108,1.0386940672575145,4.424266541351485,0.1707248229995904,0.0,0.13281868120405027,22.98738345574506,1.542554762547253,0.9793997061386429,-0.5042955836293659,-0.4967323260150665,-0.5762101999287189,-0.48241144970680594,-0.8054420251933118,-0.16523956233555795,1.3029158106222152,-0.06728890856591055,2.3574563657641745
39,CF30EF,2018,18969.0,7A4,323664.0,181297.0,W01001878,W02000377,C1,W99999999,W06000015,37,9.2516358705156,0.14637502382015577,8.988099840966017,9.027011514488871,1.4270166226843413,5.725563065868276,0.2687799888836496,0.00032481031077850534,0.1294161731811735,25.846706896571668,1.0265880929487636,0.22748374319143136,0.35491968621629577,0.34572345380312847,-0.011982102757666842,0.1189564034257854,-0.5523308683656724,-0.165205842306351,1.2553977141958879,0.25183154896843873,2.137656293467188
40,CF30SH,2018,4944.0,7A4,324379.0,181200.0,W01001877,W02000377,C1,W99999999,W06000015,-36,8.031276023003322,0.41251230930541216,6.248219434829171,6.294151613957784,1.373304165521853,4.009166232547622,0.5303768966492779,0.09897667639373817,0.015368432209401631,20.749763917379006,0.5680081959832792,2.0675899280258054,-0.5552650156499073,-0.5560303441857987,-0.09002567008499175,-0.674241656609686,0.12293285027799461,-0.15496434536105858,-0.33734843548680016,-0.3170228703400087,1.710187849253422
41,CF312PQ,2018,18089.0,7A3,291975.0,179813.0,W01000982,W02000233,C1,W99999999,W06000013,9,7.842922714420861,0.02194431284455704,7.070093674967706,7.134485579968847,1.6700390369641167,5.370538758438278,0.34122067544003987,0.03430003864920553,0.03910986851418924,22.415451116725905,0.4972298587420712,-0.6328456181457346,-0.28223946367454045,-0.2787478002535932,0.3411266014953646,-0.045110895261838306,-0.3653387215433787,-0.16167872000183214,-0.005784820634080929,-0.1311205503803532,-0.9471658218365484
42,CF313NL,2018,19061.0,7A3,290490.0,179487.0,W01001035,W02000231,C1,W99999999,W06000013,31,8.088153519125727,0.022113292089226567,8.141530351431367,8.194567477903567,1.573890413523019,5.788201887190597,0.6837486412094514,0.025026664742794566,0.011839533426263142,24.37570189578438,0.5893812986501998,-0.6316772746997643,0.07369040456033076,0.07104432683501966,0.20142378461892105,0.14790366701380409,0.5188334572506018,-0.16264143093986141,-0.38663165584322023,0.08765712148539505,-0.0016912787470245716
