,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
30,B111TX,2015,4471.25,Q54,04X,409355.0,284584.0,E01009372,E02001908,A1,E12000005,E08000025,50.0,1.8250096264220923,0.01435166798809207,5.22354494366451,5.262350686042226,3.4635437664854227,5.268732793680594,0.3763566414420895,0.0,0.10394299067938033,16.210345182060518,,,,,,,,,,,0.0
31,B113ND,2015,4895.25,Q54,04X,409762.0,283925.0,E01033641,E02006901,A1,E12000005,E08000025,54.0,2.6870972516024705,0.012696854966776363,4.557697925978995,4.599302889268752,3.2122194160846367,3.8245185801981143,0.5194101276710548,0.27916353578465825,0.01239748189315347,15.13440865557646,,,,,,,,,,,0.0
32,B114AN,2015,12722.5,Q54,13P,409301.0,283747.0,E01033643,E02001908,A1,E12000005,E08000025,-6.0,2.586151747823074,0.02456750948387175,6.745287417694635,6.8551228266547355,2.9102384032963133,6.01643662657879,0.24118664804082104,0.0,0.013553808253883267,18.63370376187761,,,,,,,,,,,0.0
33,B114BW,2015,16037.0,Q54,04X,409705.0,282964.0,E01009393,E02006901,A1,E12000005,E08000025,24.0,3.16455198070402,0.018711140737134712,4.792141785695693,4.862220753687761,2.3441753573859914,4.423183318107944,0.38703410823661516,0.2584721721943579,0.05280955524634636,15.458348831053826,,,,,,,,,,,0.0
34,B114DG,2015,3136.5,Q54,04X,409638.0,283008.0,E01009393,E02006901,A1,E12000005,E08000025,24.0,2.3219691780212104,0.0,7.325232207894266,7.372380069370467,3.125208745038501,4.844977979633371,0.3497989137727054,0.0,0.006617680027127129,18.014334885836256,,,,,,,,,,,0.0
35,B114RA,2015,2564.25,Q54,04X,409098.0,284337.0,E01009396,E02001908,A1,E12000005,E08000025,-32.0,2.7097256186912877,0.0,6.78319782326709,6.981347651695262,3.1541728036374965,6.07886258669041,0.05061164836999069,0.0,0.009354161578766144,18.974720309084443,,,,,,,,,,,0.0
36,B120UF,2015,6557.25,Q54,04X,407660.0,285144.0,E01009362,E02001897,A1,E12000005,E08000025,-107.0,3.843930707818554,0.0008386166180269029,6.540454202294597,6.6075519721605565,2.4650923377630405,4.681424811839446,0.21237404472136223,0.608985614850044,0.004426998220278171,18.420198105771032,,,,,,,,,,,0.0
37,B120YA,2015,3708.5,Q54,04X,407743.0,285164.0,E01009362,E02001897,A1,E12000005,E08000025,-107.0,1.9726035819781542,0.0,5.01345268554725,5.078756474585394,3.4928804947805268,5.659313636887166,0.194956988937666,0.0,0.0010797270450030232,16.398511177168906,,,,,,,,,,,0.0
38,B128HE,2015,2050.5,Q54,05L,408601.0,284079.0,E01009397,E02001903,A1,E12000005,E08000025,-102.0,1.7119815437078592,0.0,8.052874268295897,8.297542287699413,3.9587777984569024,6.625444671522757,0.012626262626262626,0.0,0.0,20.60637256401319,,,,,,,,,,,0.0
39,B128QE,2015,10287.0,Q54,05L,408277.0,283815.0,E01033648,E02001910,A1,E12000005,E08000025,-84.0,2.4228574260911375,0.02342952583653289,5.8927610897532325,6.001762082748033,3.7170081360722294,5.353696400558022,0.35054998149618877,0.2082922712768034,0.044710916376207284,18.077595824078944,,,,,,,,,,,0.0
40,B129LP,2015,14477.0,Q54,04X,407720.0,284385.0,E01009374,E02001910,A1,E12000005,E08000025,-5.0,2.9216210632779376,0.0033759115556197747,5.4659077475428814,5.555515261248735,2.9851720409093496,4.703304079729307,0.42695372271238,0.0,0.019639715053169814,16.59594207943333,,,,,,,,,,,0.0
41,B129RR,2015,3876.75,Q54,04X,407398.0,283993.0,E01009182,E02001918,A1,E12000005,E08000025,-31.0,2.8005660713797753,0.054534503987213274,6.388214203330333,6.515776498385082,3.2261918919795605,6.684636681112714,0.3503484655943878,0.0,0.05340030432374903,19.632054112438734,,,,,,,,,,,0.0
42,B130HN,2015,7738.75,Q54,13P,408866.0,281169.0,E01008932,E02001937,A1,E12000005,E08000025,-72.0,4.786631963694087,0.002248789481209988,6.9247829019633,7.046254044705542,1.833034496772453,5.609226248339682,0.7533910053956729,0.0,0.03203701057782139,20.030786548388647,,,,,,,,,,,0.0
43,B138JS,2015,2627.75,Q54,13P,407588.0,283172.0,E01009184,E02001918,A1,E12000005,E08000025,109.0,5.502792604503843,0.024088350340489593,8.092960281219218,8.304013652578176,2.8983085160772006,5.106989665785503,0.8940834117317449,0.0,0.023700257995522295,22.730276201016952,,,,,,,,,,,0.0
44,B138QS,2015,3617.0,Q54,04X,406179.0,282249.0,E01009186,E02001914,A1,E12000005,E08000025,-110.0,3.5862563250717123,0.0,6.685866943622198,7.121887597371669,1.910556772393705,4.172760839710865,0.2730194942189455,0.00446468434681668,0.06848944550980293,17.06894571311371,,,,,,,,,,,0.0
